juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,event_year,age_at_event,priors_per_adult_year,total_juv_count,has_juv_record,first_offense,young_man,velocity_repeat_offender,sex_male,c_charge_degree_m,charge_category_drug,charge_category_other,charge_category_property,charge_category_violent,race_african-american,race_caucasian,race_hispanic
0,1,0,0,0,2013,66.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,3,0,0,0,2013,31.0,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,4,0,1,4,2013,21.0,1.3333333333333333,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,1,0,0,0,2013,42.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0,6,0,0,14,2014,39.0,0.6666666666666666,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,4,0,0,3,2013,40.0,0.13636363636363635,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,2014,37.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,4,0,0,0,2013,25.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,6,0,0,3,2013,21.0,1.0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
0,1,0,0,0,2013,34.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,4,0,0,0,2013,38.0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,1,2012,44.0,0.038461538461538464,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,3,0,0,7,2014,28.0,0.7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,2014,35.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
0,10,0,0,3,2013,23.0,0.6,0,0,0,1,0,1,0,0,0,1,0,1,0,0
0,5,0,0,6,2013,28.0,0.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3,0,0,5,2014,29.0,0.45454545454545453,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,6,0,0,13,2014,62.0,0.29545454545454547,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,9,0,0,1,2013,18.0,1.0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
0,2,0,0,0,2014,26.0,0.0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
0,4,0,0,0,2013,18.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,4,0,0,1,2013,21.0,0.3333333333333333,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,2013,40.0,0.045454545454545456,0,0,0,0,0,1,1,0,1,0,0,0,1,0
0,3,0,0,0,2013,29.0,0.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
0,3,0,0,8,2013,24.0,1.3333333333333333,0,0,0,1,0,1,0,0,1,0,0,1,0,0
0,7,0,1,5,2013,23.0,1.0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
0,10,0,0,0,2014,31.0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,9,0,0,9,2013,27.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0,8,0,0,4,2014,30.0,0.3333333333333333,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,2013,53.0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
0,3,0,0,7,2013,46.0,0.25,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,5,0,0,4,2013,30.0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,2,0,0,1,2013,22.0,0.25,0,0,0,1,0,1,1,0,0,0,1,0,1,0
2,9,1,3,21,2013,31.0,1.6153846153846154,6,1,0,0,0,1,0,0,1,0,0,1,0,0
0,2,0,0,0,2013,25.0,0.0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
0,8,0,0,2,2013,19.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,2,2013,48.0,0.06666666666666667,0,0,0,0,0,1,1,0,1,0,0,1,0,0
0,2,0,0,2,2014,27.0,0.2222222222222222,0,0,0,0,0,1,1,0,1,0,0,0,1,0
0,2,0,0,7,2013,48.0,0.23333333333333334,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,7,0,0,0,2014,27.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
0,10,0,0,9,2014,23.0,1.8,0,0,0,1,0,1,1,0,0,0,1,0,1,0
1,8,0,4,13,2014,33.0,0.8666666666666667,5,1,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,2013,46.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
0,4,0,0,0,2013,26.0,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,2,0,0,1,2013,26.0,0.125,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,2,0,0,0,2013,26.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,5,0,1,15,2013,28.0,1.5,1,1,0,0,0,1,0,0,0,1,0,1,0,0
0,4,0,0,2,2013,21.0,0.6666666666666666,0,0,0,1,0,1,0,0,1,0,0,1,0,0
0,7,0,0,0,2013,27.0,0.0,0,0,1,0,0,1,1,0,1,0,0,0,0,1
0,1,0,0,4,2013,46.0,0.14285714285714285,0,0,0,0,0,1,1,0,0,0,1,1,0,0
0,5,0,0,8,2013,50.0,0.25,0,0,0,0,0,1,0,0,1,0,0,0,1,0
